land_use,management,weight,rules_static,rules_dynamic,operation,mgt1,mgt2,mgt3,mgt4,mgt5,mgt6,mgt7,mgt8,mgt9
WWHT,,,,,initial_crop,WWHT,1,200,2150,,,,,
WWHT,,,,"(md > 0330) * (md < 0410) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25))  * (date < prev_op + 270)",fertilizer,minN,,,0.41,0,,,,
WWHT,,,,,fertilizer,Elem-P,,,10,0,,,,
WWHT,,,,"(md > 0520) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.36,0,,,,
WWHT,,,,"(md > 0720) * (md < 0810) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op)) *  w_log(hu_fr, 0.95, 1.1) * (1 - w_log(hu_fr, 1.2, 1.4))",harvest_kill,,,,76,,,,,
WWHT,conv,0.46,,"(md > 0811) * (md < 0821) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Fallplow,,,75,,,,,
WWHT,cons,0.54,,"(md > 0811) * (md < 0821) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,70,,,,,
WWHT,,,,"(md > 0921) * (md < 1001) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.23,0,,,,
WWHT,,,,,fertilizer,orgN,,,1,0,,,,
WWHT,,,,"(date > prev_op) * (md < 1003) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,WWHT,,,2150,0,0,0,0,75
CORN,,,,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,1,0,,,,
CORN,,,,,fertilizer,Elem-P,,,39,0,,,,
CORN,conv,0.46,,"(md > 0324) * (md < 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Sprgplow,,,85,,,,,
CORN,cons,0.54,,"(md > 0324) * (md < 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,80,,,,,
CORN,,,,"(md > 0410) * (md < 0430) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,CORN,,,1250,0,0,0,0,67
CORN,,,,,fertilizer,minN,,,0.34,0,,,,
CORN,,,,"(md > 0523) * (md < 0607) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.66,0,,,,
