land_use,management,weight,rules_static,rules_dynamic,operation,mgt1,mgt2,mgt3,mgt4,mgt5,mgt6,mgt7,mgt8,mgt9
WWHT,,,,,initial_crop,WWHT,1,200,2150,,,,,
WWHT,,,subbasin == 1,"(md > 0330) * (md < 0410) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25))  * (date < prev_op + 270)",fertilizer,minN,,,48.526690633075695,0,,,,
WWHT,,,subbasin == 2,"(md > 0330) * (md < 0410) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25))  * (date < prev_op + 270)",fertilizer,minN,,,50.532316426857285,0,,,,
WWHT,,,subbasin == 3,"(md > 0330) * (md < 0410) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25))  * (date < prev_op + 270)",fertilizer,minN,,,51.19851909038685,0,,,,
WWHT,,,subbasin == 4,"(md > 0330) * (md < 0410) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25))  * (date < prev_op + 270)",fertilizer,minN,,,52.78980987483262,0,,,,
WWHT,,,subbasin == 5,"(md > 0330) * (md < 0410) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25))  * (date < prev_op + 270)",fertilizer,minN,,,50.96373234527731,0,,,,
WWHT,,,,,fertilizer,Elem-P,,,10,0,,,,
WWHT,,,subbasin == 1,"(md > 0520) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,42.6088015314811,0,,,,
WWHT,,,subbasin == 2,"(md > 0520) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,44.36983881382591,0,,,,
WWHT,,,subbasin == 3,"(md > 0520) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,44.95479725009577,0,,,,
WWHT,,,subbasin == 4,"(md > 0520) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,46.35202818277987,0,,,,
WWHT,,,subbasin == 5,"(md > 0520) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,44.74864303487764,0,,,,
WWHT,,,,"(md > 0720) * (md < 0810) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op)) *  w_log(hu_fr, 0.95, 1.1) * (1 - w_log(hu_fr, 1.2, 1.4))",harvest_kill,,,,76,,,,,
WWHT,conv,0.46,,"(md > 0811) * (md < 0821) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Fallplow,,,75,,,,,
WWHT,cons,0.54,,"(md > 0811) * (md < 0821) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,70,,,,,
WWHT,,,subbasin == 1,"(md > 0921) * (md < 1001) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,27.22228986733515,0,,,,
WWHT,,,subbasin == 2,"(md > 0921) * (md < 1001) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,28.34739701994433,0,,,,
WWHT,,,subbasin == 3,"(md > 0921) * (md < 1001) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,28.72112046533897,0,,,,
WWHT,,,subbasin == 4,"(md > 0921) * (md < 1001) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,29.613795783442693,0,,,,
WWHT,,,subbasin == 5,"(md > 0921) * (md < 1001) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,28.589410827838492,0,,,,
WWHT,,,subbasin == 1,,fertilizer,orgN,,,13.955949635594935,0,,,,
WWHT,,,subbasin == 2,,fertilizer,orgN,,,5.199480091506032,0,,,,
WWHT,,,subbasin == 3,,fertilizer,orgN,,,4.383193809528743,0,,,,
WWHT,,,subbasin == 4,,fertilizer,orgN,,,4.38319380952874,0,,,,
WWHT,,,subbasin == 5,,fertilizer,orgN,,,4.38319380952874,0,,,,
WWHT,,,,"(date > prev_op) * (md < 1003) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,WWHT,,,2150,0,0,0,0,75
CORN,,,subbasin == 1,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,143.4867573601158,0,,,,
CORN,,,subbasin == 2,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,139.13069411285724,0,,,,
CORN,,,subbasin == 3,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,121.63505586141753,0,,,,
CORN,,,subbasin == 4,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,101.60463153521499,0,,,,
CORN,,,subbasin == 5,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,102.12658234587424,0,,,,
CORN,,,,,fertilizer,Elem-P,,,39,0,,,,
CORN,conv,0.46,,"(md > 0324) * (md < 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Sprgplow,,,85,,,,,
CORN,cons,0.54,,"(md > 0324) * (md < 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,80,,,,,
CORN,,,,"(md > 0410) * (md < 0430) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,CORN,,,1250,0,0,0,0,67
CORN,,,subbasin == 1,,fertilizer,minN,,,20.376283935457536,0,,,,
CORN,,,subbasin == 2,,fertilizer,minN,,,21.704480243649616,0,,,,
CORN,,,subbasin == 3,,fertilizer,minN,,,25.917393221107492,0,,,,
CORN,,,subbasin == 4,,fertilizer,minN,,,31.1318312241932,0,,,,
CORN,,,subbasin == 5,,fertilizer,minN,,,30.624435505057644,0,,,,
CORN,,,subbasin == 1,"(md > 0523) * (md < 0607) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,39.55396293353522,0,,,,
CORN,,,subbasin == 2,"(md > 0523) * (md < 0607) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,42.132226355319844,0,,,,
CORN,,,subbasin == 3,"(md > 0523) * (md < 0607) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,50.3102338997969,0,,,,
CORN,,,subbasin == 4,"(md > 0523) * (md < 0607) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,60.43237825872798,0,,,,
CORN,,,subbasin == 5,"(md > 0523) * (md < 0607) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,59.44743362746484,0,,,,
CORN,,,,,fertilizer,Elem-P,,,18.5,0,,,,
CORN,,,,"(md > 1014) * (md < 1101) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op)) *  w_log(hu_fr, 0.9, 1) * (1 - w_log(hu_fr, 1.1, 1.4))",harvest_kill,,,,68,,,,,
CORN,conv,0.46,,"(md > 1025) * (md < 1121) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Fallplow,,,85,,,,,
CORN,cons,0.54,,"(md > 1025) * (md < 1121) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,80,,,,,
GRSG,,,subbasin == 1,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,18.280580457001047,0,,,,
GRSG,,,subbasin == 2,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,4.38319380952874,0,,,,
GRSG,,,subbasin == 3,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,4.383193809528743,0,,,,
GRSG,,,subbasin == 4,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,4.38319380952874,0,,,,
GRSG,,,subbasin == 5,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,4.38319380952874,0,,,,
GRSG,,,,,fertilizer,Elem-P,,,35,0,,,,
GRSG,conv,0.46,,"(md > 0324) * (md < 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Sprgplow,,,85,,,,,
GRSG,cons,0.54,,"(md > 0324) * (md < 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,80,,,,,
GRSG,,,,"(md > 0505) * (md < 0520) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,GRSG,,,1150,0,0,0,0,67
GRSG,,,subbasin == 1,,fertilizer,minN,,,48.392590466225926,0,,,,
GRSG,,,subbasin == 2,,fertilizer,minN,,,52.02409852482214,0,,,,
GRSG,,,subbasin == 3,,fertilizer,minN,,,52.02409852482214,0,,,,
GRSG,,,subbasin == 4,,fertilizer,minN,,,52.02409852482214,0,,,,
GRSG,,,subbasin == 5,,fertilizer,minN,,,52.02409852482214,0,,,,
GRSG,,,subbasin == 1,"(md > 0601) * (md < 0615) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,93.93855796385033,0,,,,
GRSG,,,subbasin == 2,"(md > 0601) * (md < 0615) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,100.98795595994886,0,,,,
GRSG,,,subbasin == 3,"(md > 0601) * (md < 0615) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,100.98795595994886,0,,,,
GRSG,,,subbasin == 4,"(md > 0601) * (md < 0615) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,100.98795595994886,0,,,,
GRSG,,,subbasin == 5,"(md > 0601) * (md < 0615) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,100.98795595994886,0,,,,
GRSG,,,,,fertilizer,Elem-P,,,14,0,,,,
GRSG,,,,"(md > 0925) * (md < 1015) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op)) *  w_log(hu_fr, 0.9, 1) * (1 - w_log(hu_fr, 1.1, 1.3))",harvest_kill,,,,68,,,,,
GRSG,conv,0.46,,"(md > 1025) * (md < 1121) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Fallplow,,,85,,,,,
GRSG,cons,0.54,,"(md > 1025) * (md < 1121) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,80,,,,,
SOYB,,,subbasin == 1,"(md > 0401) * (md < 0416) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,minN,,,27.546859510721713,0,,,,
SOYB,,,subbasin == 2,"(md > 0401) * (md < 0416) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,minN,,,28.30066740330523,0,,,,
