land_use,management,weight,filter_attribute,condition_schedule,operation,mgt1,mgt2,mgt3,mgt4,mgt5,mgt6,mgt7,mgt8,mgt9
AGRL,,,,"(md > 0305) * (md < 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 270)",fertilizer,orgN,,,1,0,,,,
AGRL,,,,,fertilizer,Elem-P,,,39,0,,,,
AGRL,conv,0.46,,"(md > 0324) * (md < 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Sprgplow,,,85,,,,,
AGRL,cons,0.54,,"(md > 0324) * (md < 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,80,,,,,
AGRL,,,,"(md > 0410) * (md < 0430) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,CORN,,,1250,0,0,0,0,67
AGRL,,,,,fertilizer,minN,,,0.34,0,,,,
AGRL,,,,"(md > 0523) * (md < 0607) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.66,0,,,,
AGRL,,,,,fertilizer,Elem-P,,,18.5,0,,,,
AGRL,,,,"(md > 1014) * (md < 1101) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op)) *  w_log(hu_fr, 0.9, 1) * (1 - w_log(hu_fr, 1.1, 1.4))",harvest_kill,,,,68,,,,,
AGRL,conv,0.46,,"(md > 1025) * (md < 1121) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Fallplow,,,85,,,,,
AGRL,cons,0.54,,"(md > 1025) * (md < 1121) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,80,,,,,
PAST,,,,,initial_plant,FESI,3,500,1585,,,,,
PAST,,,,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,0.25,0,,,,
PAST,,,,,fertilizer,orgN,,,0.25,0,,,,
PAST,,,,,fertilizer,Elem-P,,,7,0,,,,
PAST,,,,"(md > 0510) * (md < 0520) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
PAST,,,,"(md > 0515) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.25,0,,,,
PAST,,,,,fertilizer,orgN,,,0.25,0,,,,
PAST,,,,,fertilizer,Elem-P,,,7,0,,,,
PAST,,,,"(md > 0610) * (md < 0620) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
PAST,,,,"(md > 0615) * (md < 0630) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.25,0,,,,
PAST,,,,,fertilizer,orgN,,,0.25,0,,,,
PAST,,,,,fertilizer,Elem-P,,,7,0,,,,
PAST,,,,"(md > 0710) * (md < 0720) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
PAST,,,,"(md > 0715) * (md < 0730) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.25,0,,,,
PAST,,,,,fertilizer,orgN,,,0.25,0,,,,
PAST,,,,,fertilizer,Elem-P,,,7,0,,,,
PAST,,,,"(md > 0910) * (md < 0925) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
FRSE,,,,,initial_plant,FRSD,2,1000,2440,,,,,
FRSD,,,,,initial_plant,FRSD,2,1000,2440,,,,,
